id,product_category,product_weight_kg,product_length_mm,product_width_mm,product_height_mm,fragility_level,transport_type,box_style,board_type,flute_type,liner_gsm,fluting_gsm,burst_strength_kg_cm2,ECT_lb_per_in,internal_protection,tape_type,strapping_type,extra_packaging,estimated_price_inr,pros,cons
16,Electronics,7.47,560,900,598,Medium,Interstate trucking,Full overlap box,7-ply,A,230,140,24,48,Air pillows,Filament tape,PET strap,Layer pads,178.66,Export suitable,Bulky size
17,Books,62.32,301,65,242,High,Courier,Mailer box,7-ply,C,150,120,12,72,Paper void fill,Water activated kraft tape,None,Edge protectors,295.56,High strength,Needs padding
18,Ceramics,65.54,200,649,85,High,Export container,Mailer box,7-ply,E,180,160,24,44,Foam sheet,BOPP tape,Steel strap,None,287.92,Export suitable,Higher cost
19,Ceramics,6.19,837,940,653,High,Courier,Pallet box,5-ply,B,230,100,20,23,Foam sheet,Water activated kraft tape,PP strap,Edge protectors,81.79,High strength,Higher cost
20,Clothing,10.98,763,568,54,Low,Local transport,Full overlap box,3-ply,E,180,120,22,32,Foam sheet,Water activated kraft tape,PET strap,Pallet wrap,44.55,Good cushioning,Higher cost
21,Ceramics,14.72,575,989,55,Medium,Interstate trucking,Full overlap box,3-ply,E,150,160,22,44,Paper void fill,Filament tape,None,Layer pads,26.74,Good cushioning,Bulky size
22,Auto parts,17.03,576,984,44,Medium,Local transport,RSC,7-ply,B+C,230,140,20,51,Bubble wrap,BOPP tape,PP strap,Pallet wrap,212.69,Good stacking,Higher cost
23,Ceramics,36.58,1284,117,750,Low,Local transport,RSC,5-ply,A,230,120,22,72,Foam sheet,Water activated kraft tape,Steel strap,Edge protectors,71.43,Good cushioning,Heavy box
24,Glass bottles,52.89,723,691,614,Medium,Local transport,RSC,7-ply,B,250,160,20,48,Paper void fill,BOPP tape,None,Pallet wrap,94.72,Good cushioning,Bulky size
25,Food products,58.53,1477,384,734,Low,Local transport,Full overlap box,7-ply,A,230,160,20,32,Paper void fill,Filament tape,PP strap,Pallet wrap,114.65,Export suitable,Limited moisture resistance
26,Food products,78.83,1425,163,314,Low,Export container,RSC,5-ply,B+C,250,140,16,44,Foam sheet,BOPP tape,None,Pallet wrap,117.22,Low cost,Higher cost
27,Pharmaceutical,6.87,547,697,774,Medium,Interstate trucking,Die-cut box,7-ply,C,250,100,14,72,Corrugated dividers,BOPP tape,PP strap,Edge protectors,142.76,Low cost,Higher cost
28,Industrial tools,31.69,105,841,703,Low,Interstate trucking,Mailer box,7-ply,A,200,160,20,32,Bubble wrap,BOPP tape,Steel strap,Edge protectors,341.92,Good cushioning,Limited moisture resistance
29,Books,13.24,470,193,546,Low,Export container,Mailer box,3-ply,B,200,120,16,61,Bubble wrap,Water activated kraft tape,Steel strap,Pallet wrap,24.46,Good stacking,Heavy box
30,Food products,9.03,1110,132,47,Medium,Courier,RSC,3-ply,B,250,140,14,48,Paper void fill,BOPP tape,Steel strap,None,42.05,Good cushioning,Needs padding
31,Ceramics,42.46,1199,410,440,High,Courier,Die-cut box,7-ply,C,120,160,16,61,Air pillows,Water activated kraft tape,None,Pallet wrap,317.79,Low cost,Higher cost
32,Mobile accessories,77.19,344,471,279,High,Interstate trucking,Mailer box,7-ply,C,250,120,24,23,None,Filament tape,PP strap,Pallet wrap,248.97,Good stacking,Needs padding
33,Ceramics,21.77,830,701,568,High,Courier,Pallet box,7-ply,E,230,120,24,61,Foam sheet,Filament tape,None,Layer pads,97.51,Export suitable,Higher cost
34,Food products,30.13,190,137,90,Medium,Interstate trucking,Mailer box,3-ply,C,150,140,24,32,Paper void fill,Filament tape,Steel strap,None,44.02,Export suitable,Heavy box
35,Mobile accessories,1.92,306,68,225,Medium,Interstate trucking,Full overlap box,5-ply,E,180,120,22,44,Paper void fill,Filament tape,PP strap,None,86.62,Good stacking,Limited moisture resistance
36,Food products,51.45,96,254,121,High,Interstate trucking,Full overlap box,5-ply,A,230,120,20,61,Air pillows,Filament tape,PP strap,Edge protectors,69.28,Good cushioning,Heavy box
37,Food products,15.16,1335,918,223,High,Export container,Full overlap box,3-ply,C,180,160,22,51,None,BOPP tape,None,Edge protectors,34.88,Export suitable,Needs padding
38,Pharmaceutical,28.03,526,782,785,High,Courier,Die-cut box,7-ply,E,180,140,24,48,Corrugated dividers,Filament tape,Steel strap,Layer pads,135.94,High strength,Heavy box
39,Industrial tools,72.77,1055,574,43,Medium,Interstate trucking,Die-cut box,7-ply,C,180,100,24,61,Foam sheet,Water activated kraft tape,None,None,326.72,Good stacking,Higher cost
40,Clothing,28.6,1302,165,418,Low,Interstate trucking,Die-cut box,3-ply,E,200,120,16,23,Foam sheet,Filament tape,Steel strap,Layer pads,22.11,Good cushioning,Bulky size
41,Auto parts,56.27,145,118,798,Low,Interstate trucking,Full overlap box,7-ply,E,250,100,14,44,Foam sheet,Water activated kraft tape,PP strap,Layer pads,320.01,Export suitable,Bulky size
42,Paint cans,35.89,292,256,469,High,Local transport,Pallet box,3-ply,E,180,100,16,72,Foam sheet,Water activated kraft tape,PP strap,None,25.89,Good stacking,Limited moisture resistance
43,Food products,5.1,95,276,676,High,Export container,Full overlap box,7-ply,C,250,140,18,61,Bubble wrap,Water activated kraft tape,None,None,276.79,High strength,Heavy box
44,Kitchen appliances,65.7,801,387,577,High,Export container,Mailer box,3-ply,C,150,140,16,32,Paper void fill,BOPP tape,Steel strap,Corner protectors,42.79,Good cushioning,Heavy box
45,Mobile accessories,22.32,938,168,679,Low,Interstate trucking,Die-cut box,3-ply,B,230,140,18,61,Air pillows,Filament tape,PP strap,Corner protectors,20.51,Good cushioning,Heavy box
46,LED bulbs,22.82,1031,542,100,High,Courier,Die-cut box,3-ply,B+C,120,120,22,72,Corrugated dividers,Water activated kraft tape,PET strap,Corner protectors,15.21,High strength,Bulky size
47,Cosmetics,57.57,1020,92,345,Medium,Export container,Mailer box,5-ply,A,200,100,22,48,None,BOPP tape,None,Pallet wrap,78.17,High strength,Heavy box
48,Glass bottles,66.19,698,673,686,Medium,Local transport,RSC,5-ply,C,200,160,18,51,Air pillows,BOPP tape,PP strap,Edge protectors,136.85,Good cushioning,Bulky size
49,Pharmaceutical,29.5,1353,805,305,High,Export container,Pallet box,3-ply,A,150,140,24,44,Corrugated dividers,BOPP tape,PET strap,Layer pads,14.57,Low cost,Needs padding
50,Electronics,62.58,355,779,352,Medium,Courier,Die-cut box,3-ply,B,200,100,12,44,None,BOPP tape,None,None,40.73,Good stacking,Higher cost
51,Food products,16.16,262,857,51,High,Export container,Mailer box,5-ply,C,120,160,14,48,Bubble wrap,BOPP tape,PET strap,Pallet wrap,55.38,Low cost,Needs padding
52,Industrial tools,0.09,433,421,178,Low,Interstate trucking,Die-cut box,3-ply,B,250,140,24,51,Foam sheet,Filament tape,None,None,21.08,Good cushioning,Limited moisture resistance
53,Cosmetics,0.51,1285,794,564,Low,Interstate trucking,Pallet box,5-ply,C,230,140,16,44,Paper void fill,Filament tape,Steel strap,Pallet wrap,74.79,Export suitable,Bulky size
54,Books,58.87,482,843,357,High,Courier,Mailer box,3-ply,B+C,120,140,12,48,Corrugated dividers,Water activated kraft tape,None,Edge protectors,19.77,Good cushioning,Needs padding
55,Food products,62.09,800,211,194,Low,Local transport,RSC,7-ply,E,230,140,16,61,Paper void fill,BOPP tape,Steel strap,Pallet wrap,312.62,Good stacking,Higher cost
56,Auto parts,4.84,818,962,325,Medium,Local transport,Mailer box,7-ply,C,250,100,16,72,Corrugated dividers,BOPP tape,PP strap,Corner protectors,249.67,High strength,Bulky size
57,Electronics,58.99,406,176,715,Low,Local transport,Mailer box,3-ply,B+C,200,120,14,44,Air pillows,Filament tape,PET strap,None,41.22,Export suitable,Higher cost
58,Kitchen appliances,24.12,238,108,753,High,Interstate trucking,Mailer box,7-ply,E,150,140,24,32,Bubble wrap,Filament tape,PET strap,Corner protectors,110.7,High strength,Bulky size
59,Kitchen appliances,63.12,785,532,498,Low,Local transport,RSC,7-ply,A,230,100,18,23,Corrugated dividers,Filament tape,None,Layer pads,172.03,Good stacking,Higher cost
60,Cosmetics,59.74,445,514,183,High,Courier,Die-cut box,3-ply,A,150,120,14,23,None,Filament tape,Steel strap,Layer pads,42.56,Export suitable,Heavy box
61,Paint cans,14.22,1004,128,675,Low,Interstate trucking,Mailer box,3-ply,E,150,140,20,72,Air pillows,Filament tape,PET strap,Layer pads,44.9,Export suitable,Heavy box
62,Kitchen appliances,17.88,515,488,263,Medium,Export container,Pallet box,5-ply,E,250,100,20,44,Bubble wrap,BOPP tape,PET strap,Edge protectors,57.03,Low cost,Higher cost
63,Industrial tools,37.41,756,387,67,Medium,Courier,RSC,3-ply,E,250,120,14,61,Foam sheet,Filament tape,Steel strap,Edge protectors,42.0,Good cushioning,Higher cost
64,Ceramics,53.55,934,804,733,High,Courier,RSC,5-ply,A,230,100,24,44,Corrugated dividers,BOPP tape,PET strap,Layer pads,96.66,Good cushioning,Limited moisture resistance
65,Cosmetics,1.58,1083,305,94,Medium,Courier,Mailer box,5-ply,B+C,250,120,14,32,Corrugated dividers,Filament tape,Steel strap,Edge protectors,125.37,Good stacking,Higher cost
66,Paint cans,53.42,704,514,445,High,Export container,Full overlap box,3-ply,B,120,120,24,51,Foam sheet,BOPP tape,Steel strap,Corner protectors,23.35,Good cushioning,Limited moisture resistance
67,Kitchen appliances,60.51,686,695,610,High,Local transport,Mailer box,3-ply,C,180,140,20,44,Bubble wrap,BOPP tape,Steel strap,Edge protectors,45.51,Low cost,Limited moisture resistance
68,Industrial tools,18.31,99,792,335,High,Export container,Mailer box,7-ply,C,250,140,16,61,Air pillows,Water activated kraft tape,None,Layer pads,201.25,High strength,Heavy box
69,Food products,51.9,682,760,58,Medium,Local transport,Mailer box,3-ply,A,120,140,18,23,Bubble wrap,Water activated kraft tape,PET strap,Layer pads,35.44,Export suitable,Bulky size
70,Pharmaceutical,15.2,999,999,88,Medium,Courier,Full overlap box,5-ply,A,150,160,12,32,None,Filament tape,PET strap,Pallet wrap,113.51,High strength,Limited moisture resistance
71,Mobile accessories,73.09,1104,937,538,Medium,Interstate trucking,Mailer box,5-ply,E,200,160,14,48,Foam sheet,Filament tape,Steel strap,Pallet wrap,117.27,Good cushioning,Limited moisture resistance
72,Mobile accessories,54.35,213,989,519,Medium,Interstate trucking,Mailer box,3-ply,C,230,120,22,51,Foam sheet,Filament tape,PET strap,Pallet wrap,12.01,Good stacking,Bulky size
73,Glass bottles,59.82,138,119,46,Medium,Export container,Full overlap box,3-ply,B+C,180,160,20,23,Corrugated dividers,Filament tape,PET strap,Edge protectors,42.05,Low cost,Higher cost
74,Clothing,62.22,1316,855,654,High,Courier,Pallet box,5-ply,B,200,140,24,51,Corrugated dividers,Filament tape,Steel strap,Layer pads,135.06,Good cushioning,Needs padding
75,LED bulbs,26.67,1122,623,480,Low,Courier,Full overlap box,3-ply,C,230,100,12,44,None,Filament tape,PP strap,Pallet wrap,43.84,Low cost,Needs padding
76,Kitchen appliances,76.41,1253,172,717,High,Local transport,Mailer box,5-ply,B,180,140,20,48,Foam sheet,Filament tape,None,Corner protectors,63.73,Low cost,Higher cost
77,Electronics,28.0,361,588,315,Low,Interstate trucking,Full overlap box,5-ply,A,200,140,14,44,Corrugated dividers,Filament tape,PET strap,None,50.89,Good stacking,Heavy box
78,Auto parts,50.06,819,660,650,Medium,Courier,Die-cut box,7-ply,B+C,250,100,24,44,Air pillows,Filament tape,Steel strap,None,138.52,Good cushioning,Higher cost
79,Kitchen appliances,76.44,91,762,412,High,Courier,RSC,7-ply,B,120,100,20,23,Corrugated dividers,BOPP tape,PP strap,None,209.81,Good cushioning,Limited moisture resistance
80,Kitchen appliances,50.23,174,98,660,Low,Export container,Die-cut box,7-ply,A,120,140,12,51,Foam sheet,Water activated kraft tape,None,None,122.95,Good cushioning,Limited moisture resistance
81,Books,78.08,920,552,700,Low,Export container,Full overlap box,7-ply,A,120,160,14,23,Foam sheet,Water activated kraft tape,None,Layer pads,322.23,Export suitable,Needs padding
82,Pharmaceutical,28.19,92,676,279,High,Courier,Pallet box,7-ply,A,200,140,24,32,Foam sheet,BOPP tape,Steel strap,None,242.86,Low cost,Higher cost
83,Industrial tools,76.87,1366,994,262,Medium,Export container,Pallet box,7-ply,B+C,230,100,16,44,Foam sheet,Filament tape,PET strap,None,175.8,Low cost,Heavy box
84,Glass bottles,28.65,938,774,279,Medium,Export container,RSC,7-ply,A,230,140,20,51,Air pillows,Water activated kraft tape,PET strap,Pallet wrap,155.0,High strength,Needs padding
85,Paint cans,14.67,504,220,399,Medium,Courier,Mailer box,3-ply,B,250,120,16,44,Corrugated dividers,Water activated kraft tape,PP strap,None,47.99,Low cost,Bulky size
86,Electronics,76.97,955,503,599,Low,Interstate trucking,Mailer box,7-ply,E,230,160,24,72,Corrugated dividers,Filament tape,None,Corner protectors,319.23,Good cushioning,Heavy box
87,Pharmaceutical,12.21,877,87,31,Low,Export container,Pallet box,3-ply,A,180,120,12,32,Corrugated dividers,Water activated kraft tape,PP strap,Edge protectors,46.96,Good stacking,Needs padding
88,Kitchen appliances,66.72,871,797,624,High,Interstate trucking,Die-cut box,5-ply,B,180,160,24,51,Bubble wrap,Water activated kraft tape,PP strap,Edge protectors,76.71,Low cost,Heavy box
89,Ceramics,42.34,1016,74,593,Medium,Export container,Die-cut box,7-ply,B+C,200,140,22,23,Corrugated dividers,BOPP tape,PP strap,Layer pads,100.06,High strength,Needs padding
90,Clothing,24.98,85,282,194,Low,Courier,Pallet box,7-ply,B+C,120,100,18,44,Air pillows,Filament tape,PET strap,Pallet wrap,297.96,Good stacking,Limited moisture resistance
91,Glass bottles,62.13,1212,413,728,Low,Courier,RSC,5-ply,E,150,100,20,48,Corrugated dividers,Filament tape,PET strap,Corner protectors,128.46,Export suitable,Limited moisture resistance
92,Industrial tools,49.66,686,536,575,Medium,Local transport,RSC,7-ply,E,200,120,22,61,Foam sheet,BOPP tape,PP strap,Layer pads,234.26,High strength,Higher cost
93,Paint cans,12.2,949,576,198,Low,Courier,Full overlap box,7-ply,C,120,120,18,48,Corrugated dividers,Water activated kraft tape,PET strap,None,247.23,Export suitable,Bulky size
94,Paint cans,47.31,89,348,764,Medium,Courier,Mailer box,7-ply,C,120,160,14,44,None,Water activated kraft tape,PET strap,Corner protectors,262.23,Good cushioning,Needs padding
95,Pharmaceutical,68.83,1368,491,499,Medium,Interstate trucking,Die-cut box,3-ply,E,200,160,18,23,Air pillows,Filament tape,Steel strap,Corner protectors,39.47,High strength,Bulky size
96,Food products,24.04,1257,812,797,Low,Interstate trucking,Pallet box,5-ply,B,150,160,12,51,Air pillows,Water activated kraft tape,PET strap,Edge protectors,36.43,Low cost,Heavy box
97,Food products,70.03,135,183,315,Medium,Courier,Mailer box,5-ply,C,120,140,16,51,Corrugated dividers,BOPP tape,PET strap,Layer pads,69.26,Export suitable,Limited moisture resistance
98,LED bulbs,18.53,967,66,344,Medium,Interstate trucking,Full overlap box,3-ply,E,120,120,24,72,Air pillows,Water activated kraft tape,None,Edge protectors,46.51,Good cushioning,Limited moisture resistance
99,Books,62.66,1329,783,587,Medium,Local transport,Pallet box,3-ply,A,180,160,14,44,Air pillows,Water activated kraft tape,Steel strap,Pallet wrap,37.09,Good cushioning,Limited moisture resistance
100,Auto parts,59.38,523,155,267,Medium,Courier,Mailer box,5-ply,E,230,100,12,61,Air pillows,Filament tape,PP strap,Corner protectors,116.04,Good stacking,Needs padding
101,Cosmetics,32.09,564,120,465,Medium,Interstate trucking,Die-cut box,3-ply,B+C,180,100,16,51,None,Water activated kraft tape,PET strap,None,35.44,Good stacking,Limited moisture resistance
102,Cosmetics,18.03,690,238,521,Low,Export container,RSC,7-ply,C,250,140,22,48,Bubble wrap,BOPP tape,Steel strap,None,154.3,Low cost,Needs padding
103,Industrial tools,19.74,371,316,183,Low,Local transport,RSC,7-ply,A,180,100,20,44,Bubble wrap,Filament tape,PP strap,Layer pads,323.46,High strength,Higher cost
104,Industrial tools,61.13,1183,584,330,Low,Interstate trucking,Pallet box,5-ply,B,120,120,24,32,Foam sheet,Filament tape,PET strap,None,133.74,High strength,Needs padding
105,Ceramics,55.99,1241,883,365,High,Local transport,Full overlap box,7-ply,E,250,100,16,48,Foam sheet,Water activated kraft tape,Steel strap,Pallet wrap,335.62,Export suitable,Higher cost
106,Industrial tools,74.17,117,181,527,High,Export container,Mailer box,7-ply,B,200,120,16,61,Bubble wrap,BOPP tape,PET strap,None,161.4,High strength,Heavy box
107,Books,44.79,1479,798,157,Low,Local transport,Die-cut box,7-ply,C,230,100,12,61,Foam sheet,BOPP tape,PP strap,Corner protectors,357.87,High strength,Heavy box
108,Mobile accessories,30.19,855,971,599,Low,Local transport,Full overlap box,5-ply,B,250,140,18,23,Corrugated dividers,Filament tape,None,Layer pads,60.49,Good cushioning,Higher cost
109,Clothing,60.49,339,865,492,Low,Local transport,RSC,7-ply,A,250,160,12,48,Bubble wrap,BOPP tape,Steel strap,Edge protectors,128.45,Good cushioning,Needs padding
110,Books,23.41,197,304,283,Medium,Courier,Die-cut box,7-ply,A,230,100,14,44,Paper void fill,BOPP tape,None,Edge protectors,271.74,Good cushioning,Needs padding
111,Clothing,64.82,839,247,775,Low,Export container,Full overlap box,5-ply,A,180,160,16,72,Bubble wrap,Water activated kraft tape,PET strap,Edge protectors,66.34,Low cost,Higher cost
112,Food products,76.47,969,578,101,Medium,Courier,RSC,3-ply,E,150,100,14,48,Air pillows,Filament tape,Steel strap,None,14.12,Good stacking,Heavy box
113,Books,20.5,132,493,424,Medium,Courier,RSC,7-ply,B,230,120,22,23,None,Filament tape,PET strap,Pallet wrap,123.14,Export suitable,Limited moisture resistance
114,Food products,77.33,190,71,766,Low,Local transport,Die-cut box,3-ply,A,180,120,20,23,Corrugated dividers,Water activated kraft tape,None,Corner protectors,14.47,Good cushioning,Needs padding
115,Paint cans,70.0,273,569,572,Medium,Courier,Mailer box,3-ply,A,150,100,22,48,Corrugated dividers,BOPP tape,PP strap,Pallet wrap,42.67,Good cushioning,Higher cost
116,Paint cans,32.86,810,864,747,Low,Interstate trucking,RSC,5-ply,A,200,140,24,48,None,Water activated kraft tape,PET strap,Corner protectors,91.88,High strength,Needs padding
117,LED bulbs,54.43,1079,738,381,Medium,Local transport,Mailer box,7-ply,E,200,160,22,23,Bubble wrap,Filament tape,None,Layer pads,344.93,High strength,Heavy box
118,Clothing,45.49,895,589,583,High,Courier,Die-cut box,5-ply,C,150,160,22,72,Foam sheet,BOPP tape,PP strap,Pallet wrap,86.25,Export suitable,Needs padding
119,Clothing,32.14,229,480,234,Medium,Local transport,Mailer box,7-ply,E,250,140,14,48,Paper void fill,Water activated kraft tape,PP strap,Pallet wrap,110.46,Low cost,Needs padding
120,Cosmetics,72.64,448,994,309,Low,Local transport,RSC,7-ply,C,250,120,14,72,Foam sheet,BOPP tape,PET strap,Corner protectors,308.5,Good stacking,Needs padding
121,Paint cans,65.54,958,377,513,Low,Local transport,Pallet box,7-ply,E,250,140,20,51,Paper void fill,BOPP tape,Steel strap,Pallet wrap,276.71,Low cost,Needs padding
122,Ceramics,12.43,352,932,761,High,Courier,Mailer box,7-ply,B+C,150,160,18,32,Corrugated dividers,BOPP tape,PET strap,Edge protectors,152.64,Good stacking,Bulky size
123,Books,15.11,1171,999,158,Medium,Courier,Mailer box,5-ply,B+C,120,100,20,61,Air pillows,Water activated kraft tape,None,Edge protectors,100.59,High strength,Bulky size
124,LED bulbs,49.88,682,554,497,High,Interstate trucking,RSC,5-ply,B,150,140,16,72,Air pillows,Filament tape,PET strap,Corner protectors,66.47,Export suitable,Limited moisture resistance
125,Food products,19.44,1015,540,581,Low,Export container,Full overlap box,7-ply,B+C,200,160,22,61,Air pillows,BOPP tape,PP strap,Pallet wrap,211.87,High strength,Higher cost
126,Mobile accessories,77.77,1308,326,670,Low,Courier,Pallet box,3-ply,B,230,160,20,44,None,Water activated kraft tape,Steel strap,Edge protectors,23.42,Low cost,Limited moisture resistance
127,Clothing,22.33,1267,988,408,Low,Courier,RSC,3-ply,A,150,120,18,23,Air pillows,Water activated kraft tape,Steel strap,Layer pads,45.42,Good cushioning,Higher cost
128,Ceramics,23.17,412,557,634,Low,Export container,Mailer box,5-ply,A,150,160,22,44,Air pillows,BOPP tape,PP strap,Corner protectors,60.39,High strength,Higher cost
129,LED bulbs,78.21,655,811,388,High,Local transport,Die-cut box,3-ply,C,230,160,12,48,Bubble wrap,BOPP tape,PP strap,None,43.81,High strength,Bulky size
130,Pharmaceutical,35.8,1269,330,642,High,Local transport,Die-cut box,5-ply,B,180,120,22,48,None,BOPP tape,PET strap,Corner protectors,118.13,High strength,Limited moisture resistance
131,Clothing,46.38,1065,944,38,Medium,Interstate trucking,RSC,5-ply,C,250,100,22,44,None,Water activated kraft tape,PET strap,None,93.92,Good stacking,Needs padding
132,Books,3.15,601,280,356,Low,Export container,Pallet box,7-ply,B+C,180,160,14,61,Bubble wrap,BOPP tape,None,Layer pads,216.04,Good cushioning,Higher cost
133,Pharmaceutical,25.62,1267,803,149,High,Export container,Full overlap box,5-ply,C,150,160,20,72,Bubble wrap,Filament tape,PET strap,Pallet wrap,100.19,Good stacking,Needs padding
134,Pharmaceutical,31.58,630,133,100,High,Local transport,Mailer box,7-ply,A,180,160,14,23,None,Water activated kraft tape,None,Edge protectors,104.68,Export suitable,Higher cost
135,Kitchen appliances,33.23,117,532,662,Low,Export container,RSC,7-ply,A,230,120,22,32,Bubble wrap,Filament tape,Steel strap,Pallet wrap,168.31,Export suitable,Higher cost
136,Electronics,58.6,687,523,424,Low,Interstate trucking,Mailer box,3-ply,B,200,120,16,32,None,Filament tape,PP strap,Edge protectors,17.24,Export suitable,Bulky size
137,Industrial tools,25.78,1281,558,758,High,Interstate trucking,Full overlap box,7-ply,B+C,230,160,12,72,Foam sheet,Filament tape,PP strap,Edge protectors,207.17,High strength,Limited moisture resistance
138,Pharmaceutical,57.83,1111,756,210,Medium,Export container,RSC,5-ply,B,250,160,24,23,Foam sheet,BOPP tape,None,Corner protectors,80.46,High strength,Limited moisture resistance
139,Cosmetics,24.27,1087,350,72,High,Interstate trucking,Die-cut box,3-ply,C,180,120,16,48,Paper void fill,Water activated kraft tape,None,Pallet wrap,40.53,Low cost,Needs padding
140,Paint cans,60.42,909,596,205,High,Local transport,Mailer box,3-ply,E,180,100,16,48,Bubble wrap,Filament tape,Steel strap,Layer pads,26.2,Export suitable,Needs padding
141,Books,42.57,632,736,185,Low,Courier,Die-cut box,7-ply,B,180,120,20,23,Foam sheet,BOPP tape,None,Edge protectors,304.03,Good cushioning,Needs padding
142,Mobile accessories,35.98,1454,285,510,Low,Local transport,Mailer box,7-ply,A,150,160,18,44,Air pillows,Water activated kraft tape,PET strap,Corner protectors,142.0,High strength,Limited moisture resistance
143,Clothing,33.27,120,582,390,High,Courier,Die-cut box,7-ply,B+C,120,100,16,44,Paper void fill,BOPP tape,None,Pallet wrap,327.49,Good cushioning,Bulky size
144,Pharmaceutical,53.07,889,210,684,High,Interstate trucking,Mailer box,7-ply,B+C,230,120,14,44,None,Water activated kraft tape,None,Layer pads,294.45,Export suitable,Higher cost
145,Electronics,14.0,1120,177,499,Low,Courier,Full overlap box,7-ply,A,120,120,24,51,Bubble wrap,Filament tape,PP strap,Corner protectors,172.93,Good cushioning,Limited moisture resistance
146,Glass bottles,38.97,107,287,464,High,Local transport,Pallet box,3-ply,A,230,160,24,23,Corrugated dividers,BOPP tape,Steel strap,Pallet wrap,44.79,Low cost,Bulky size
147,Mobile accessories,49.03,167,127,319,Low,Export container,Full overlap box,3-ply,B+C,150,140,18,72,Paper void fill,BOPP tape,PET strap,Layer pads,23.69,Low cost,Bulky size
148,Electronics,42.07,809,651,693,Low,Export container,Die-cut box,5-ply,C,150,140,22,61,Foam sheet,BOPP tape,Steel strap,Corner protectors,49.85,Good cushioning,Heavy box
149,Ceramics,75.48,1473,642,32,Medium,Local transport,RSC,3-ply,A,180,140,16,61,Bubble wrap,Filament tape,None,Pallet wrap,19.13,Low cost,Needs padding
150,Cosmetics,11.9,415,312,37,Low,Export container,RSC,7-ply,B,200,120,14,51,Corrugated dividers,Filament tape,Steel strap,Pallet wrap,267.91,Low cost,Bulky size
151,Cosmetics,34.56,762,236,352,High,Export container,Full overlap box,7-ply,A,180,140,18,32,Air pillows,Filament tape,None,Edge protectors,357.69,Good cushioning,Heavy box
152,Clothing,16.52,1096,707,454,High,Export container,Full overlap box,5-ply,E,150,100,14,44,Corrugated dividers,BOPP tape,PET strap,Edge protectors,103.89,High strength,Bulky size
153,Paint cans,1.15,463,945,90,Low,Export container,Die-cut box,7-ply,E,180,140,18,61,Air pillows,Filament tape,None,Pallet wrap,250.57,Good stacking,Bulky size
